ItemDescr,Content,Weight,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
Ah blini's 135 gram,135.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.008430565736248256,0.004064162417319034,1.5841666666666667,11.734567901234568
Ah ontbijt smoothie haver yoghurt aardbe 250 milliliter,250.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.007623884609075031,0.004536662891657441,1.7683333333333333,7.073333333333333
Ah pangasiusreepje pep&zt 250 gram,250.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.02203718392541298,0.019573474292705794,3.328333333333333,13.313333333333333
Ah smoot mango ban 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05445922717581505,0.040449148738378515,2.4220833333333336,4.844166666666667
Ah toastzalm 130 gram,130.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.025782110799289253,0.03895587929130987,5.0424999999999995,38.78846153846154
Almhof Milde roomyoghurt spaanse sinaasappel 500 gram,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201851.5,0.045556798710759176,0.04720737807223599,1.4227272727272728,2.8454545454545457
Almhof Roomyoghurt walnoot-griekse honing 150 gram,150.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.01247671655498065,0.006763455912074598,0.7312500000000001,4.875
Alpro soya dr macchiato 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0045487890667860265,0.00718723039450932,1.9654166666666664,1.9654166666666664
Alpro soya drink banana 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.00841733565619357,0.01168230203383975,1.7141666666666666,1.7141666666666666
Appelsientje AS multivitamientje exotisch fruit 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.00985714895556371,0.00785618769105585,1.4016666666666666,1.4016666666666666
Appelsientje Sinaasappel 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0889832847113798,0.0744046170234088,1.5925,1.5925
Baltussen Rolmops 450 gram,450.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,2.7299159185968017e-05,2.458014197334383e-05,2.8716666666666666,6.381481481481482
Baltussen Rolmops in saus 450 gram,450.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0007609207350132301,0.0007586202647038086,3.125,6.944444444444444
BioToday Flatbread sticks garlic - bio 130 gram,130.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,201856.5,0.00020525849240432268,0.0001174148860627867,2.015,15.5
Campina Biologische karnemelk 500ml 500 milliliter,500.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.01057296099657222,0.007158057849157469,0.8645833333333334,1.7291666666666667
Campina Camp chocolade vla 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.01829214810965988,0.019956631661475224,1.5179166666666666,1.5179166666666666
Campina Dubbelvla aardbei/vanille 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.007458678226728195,0.007572406800560177,1.3883333333333334,1.3883333333333334
Capri-Sun Orange drink pouch 10x0.2 liter,2.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.01969156730753467,0.03978000630489007,3.295,1.6475
Coca cola zero 12bl 12x0.15 liter,1.8,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.017201085628113205,0.06583850297741826,5.726666666666667,3.1814814814814816
Coca-Cola Original 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.22463727957917853,0.231537526046975,1.6925,1.6925
Coca-Cola Original fles 0.375 liter,0.38000000000000006,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05418735948722846,0.041137885262993515,1.0483333333333333,2.7587719298245617
"Coca-cola fl uit 4pk 1,25LT",1.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201846.7,1.2249674246121525e-06,1.4379155018455301e-06,1.69,1.3519999999999999
Coca-cola vanilla bl 0.33 liter,0.33,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05110866993290606,0.02290521545317162,0.6466666666666666,1.9595959595959596
CoolBest CB  Mango Dream 1L PK DS12 v1 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.08150755617522105,0.1015122177583198,1.9562499999999998,1.9562499999999998
Danone Danio stracciatella romige kwark 450 gram,450.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.08365462414263596,0.10294499781943432,1.8433333333333335,4.0962962962962965
De Zaanse Hoeve Yoghurt aardbei 1000 gram,1000.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.01604336146411076,0.019167457702693364,1.4383333333333332,1.4383333333333332
Den Eelder Echte halfvolle boerenmelk 1LT,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.0001680773320496648,0.00015261006155287612,1.12,1.12
Douwe Egberts Ice coffee mocha latte 0.25 liter,0.25,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0056306782234545666,0.005220439456060833,1.1820833333333334,4.7283333333333335
Dr. Oetker Wolkent. Karamel 125 gram,125.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201864.14285714287,0.04142152727811493,0.017299719671023624,0.5661904761904762,4.52952380952381
Dream Oat dream haver gv bio 1000 milliliter,1000.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,201856.5,0.005445306084393112,0.008569889168978058,2.22,2.22
Dubbeldrank Sinaasapl Perzik 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.07812209463428386,0.06167334061953884,1.4008333333333332,1.4008333333333332
Fanta orange bl 0.33 liter,0.33,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.05727217688066735,0.025749184630883885,0.6491666666666667,1.9671717171717171
Garden Gourmet Caprese carremet cherry tom en mozzarell 160 gram,160.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.01037906137544214,0.008308594757141767,2.8800000000000003,18.000000000000004
Garden Gourmet Oosterse wokblokjes 175 gram,175.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.020336063817331117,0.016931080921249977,2.7383333333333333,15.647619047619047
Garden Gourmet Vegetarische schnitzel 180 gram,180.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.022048520292514664,0.016605816833082102,2.4625,13.680555555555557
Guarana Guarana can 0.33 liter,0.33,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0067490158513548405,0.004951558159593379,1.0050000000000001,3.0454545454545454
Icelandic Glacial 500 milliliter,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.008170550137037458,0.006068020045998858,1.0050000000000001,2.0100000000000002
Karvan Cevitam 0% Citrus mix 750 milliliter,750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.00456924468788024,0.008604024935744406,2.9933333333333336,3.9911111111111115
Melkunie fruitvla rum/rozijnen 1Lpak 1 liter,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.022545993493660214,0.03132837400148907,1.86625,1.86625
MinusL Griekse stijl yoghurt 400 gram,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,1.978885565751352e-05,2.596237463037587e-05,1.59,3.975
O2 Life lemon-grapefruit pet 0.75 liter,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,6.715584423795311e-05,6.164656564283507e-05,1.29,1.72
O2 Life orange-citrus 0.75 liter,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,4.782376406808704e-05,4.3547150971679373e-05,1.29,1.72
Optimel Variaties drink kokos 0 % 1000 milliliter,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201854.26086956522,0.009623622434310402,0.009126793026960596,1.3908695652173915,1.3908695652173915
Quorn Sate stukjes 300 gram,300.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.01521196213714506,0.013534561008770025,3.0749999999999997,10.25
Qwensh Drinkfles 1 stuk,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201851.54545454544,0.00034375483992497407,0.0017434465764542585,9.99,9.99
Red Bull Energy 250 milliliter,250.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.2206600625025348,0.24686111825306825,1.5599999999999998,6.239999999999999
Redbull winter edit 250 milliliter,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.003862870206295666,0.003489232494274764,1.4266666666666667,5.706666666666667
Roosvicee Multivit Bosvruchten 6pk 1.2 liter,1.2,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.009423702912601497,0.01245736017609661,1.9841666666666666,1.6534722222222225
Royal club tonic classic 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.09057189917798092,0.08987344184286851,1.53875,1.53875
Smaakt Granola granen-noten 350g - bio 350 gram,350.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,201856.5,0.00014847530670409064,0.00013186613010872435,2.93,8.371428571428572
Sourcy Vitaminwater limoen 0.5 liter,0.5,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0043518472635537325,0.0039761473117075835,1.3845833333333335,2.769166666666667
Spa Duo lime ginger 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.00931658271574676,0.008809836270198624,1.5883333333333332,1.5883333333333332
Spa Touch blackcurrant 0.5 liter,0.5,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.007037677387793521,0.0038113300559997256,0.7124999999999999,1.4249999999999998
Starbucks double sh 200 milliliter,200.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.006895506864866023,0.008746542183329735,1.6245833333333335,8.122916666666667
The Gutsy Captain California raspberry 400 milliliter,400.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201859.09523809524,0.0005563597937106842,0.0007752255526989948,2.0085714285714285,5.021428571428571
Valess Rookworst 160 gram,160.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201858.94736842104,0.008360912327160118,0.007284206602331108,2.940526315789474,18.378289473684212
Vivera Krokante schnitzel 200 gram,200.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.0159009106111383,0.011925344142808526,2.4791666666666665,12.395833333333334
Zespri kiwi gold vvp 1kg 1000 gram,1000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201860.0,1.1308132376513335e-05,2.0416540296691453e-05,1.12,1.12
Zuivelhoeve Boer'n yoghurt naturel 800 gram,800.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.012274070520432409,0.01875504995475971,1.9791666666666667,2.4739583333333335
